ride_id,customer_id,driver_id,pickup_location,drop_location,pickup_time,drop_time,fare,ride_status,vehicle_id,customer_name,phone,city,driver_name,rating,status_y,payment_id,amount,payment_method,payment_date,payment_status,vehicle_type,vehicle_number,ride_location,hour,ride_duration
95,11,41,Kothrud,Hinjewadi,2024-02-04 22:00:00,2024-02-04 22:20:00,364.02,completed,45,Swapnil Patwardhan,8433267572,Delhi,Eshwar Kale,4.44,active,108,56.89,Cash,2024-04-17,pending,Auto,MH12AB1044,0 days 00:20:00,22,0 days 00:20:00
96,9,42,Baner,Baner,2024-02-04 23:00:00,2024-02-04 23:20:00,529.98,completed,46,Anjali More,7249467210,Bangalore,Fakruddin Shaikh,3.67,inactive,109,470.05,Card,2024-04-18,failed,Auto,MH12AB1045,0 days 00:20:00,23,0 days 00:20:00
97,97,29,Hinjewadi,Wakad,2024-02-05 00:00:00,2024-02-05 00:20:00,469.47,completed,47,Sameer Kshirsagar,8185407468,Bangalore,Shankar Waghmare,3.94,active,36,137.42,Card,2024-02-05,pending,SUV,MH12AB1046,0 days 00:20:00,0,0 days 00:20:00
97,97,29,Hinjewadi,Wakad,2024-02-05 00:00:00,2024-02-05 00:20:00,469.47,completed,47,Sameer Kshirsagar,8185407468,Bangalore,Shankar Waghmare,3.94,active,110,275.47,Cash,2024-04-19,success,SUV,MH12AB1046,0 days 00:20:00,0,0 days 00:20:00
98,26,16,Hinjewadi,Kothrud,2024-02-05 01:00:00,2024-02-05 01:20:00,209.14,cancelled,48,Amol Gokhale,8855189739,Pune,Firoz Shaikh,4.61,active,111,292.72,Card,2024-04-20,success,Mini,MH12AB1047,0 days 00:20:00,1,0 days 00:20:00
99,100,43,Baner,Baner,2024-02-05 02:00:00,2024-02-05 02:20:00,211.16,completed,49,Vivek Jadhav,7709816108,Bangalore,Gajanan Sathe,3.98,active,112,357.78,Cash,2024-04-21,success,SUV,MH12AB1048,0 days 00:20:00,2,0 days 00:20:00
100,68,46,Shivajinagar,Wakad,2024-02-05 03:00:00,,338.73,ongoing,50,Vijay Tare,8111451555,Pune,Jeevan Chougule,3.88,active,113,327.13,UPI,2024-04-22,success,Mini,MH12AB1049,,3,
101,66,5,Shivajinagar,Hinjewadi,2024-02-05 04:00:00,2024-02-05 04:20:00,286.48,completed,1,Trupti Barve,7744595490,Bangalore,Ashok Jadhav,4.58,active,114,474.75,Cash,2024-04-23,success,SUV,MH12AB1000,0 days 00:20:00,4,0 days 00:20:00
102,8,37,Kothrud,Kothrud,2024-02-05 05:00:00,2024-02-05 05:20:00,217.81,completed,2,Rohit Chavan,7429389014,Bangalore,Ajay Phadke,4.14,active,115,474.91,Card,2024-04-24,success,SUV,MH12AB1001,0 days 00:20:00,5,0 days 00:20:00
103,71,40,Wakad,Hinjewadi,2024-02-05 06:00:00,2024-02-05 06:20:00,254.67,completed,3,Ajinkya Chougule,8338788865,Bangalore,Datta Barve,4.25,active,116,440.24,Cash,2024-04-25,success,Mini,MH12AB1002,0 days 00:20:00,6,0 days 00:20:00
104,100,40,Shivajinagar,Hinjewadi,2024-02-05 07:00:00,2024-02-05 07:20:00,194.02,completed,4,Vivek Jadhav,7709816108,Bangalore,Datta Barve,4.25,active,117,336.38,Cash,2024-04-26,success,Auto,MH12AB1003,0 days 00:20:00,7,0 days 00:20:00
105,98,42,Wakad,Baner,2026-04-01 12:33:10,2024-02-05 08:20:00,283.26,booked,5,Tanmay Barve,7605264936,Bangalore,Fakruddin Shaikh,3.67,inactive,118,410.43,Cash,2024-04-27,success,SUV,MH12AB1004,-787 days +19:46:50,12,-787 days +19:46:50
106,40,10,Hinjewadi,Shivajinagar,2024-02-05 09:00:00,2024-02-05 09:20:00,218.96,completed,6,Pranali Dhamdhere,7857592370,Mumbai,Vishal Patil,4.09,active,119,354.73,UPI,2024-04-28,success,Mini,MH12AB1005,0 days 00:20:00,9,0 days 00:20:00
107,83,15,Baner,Kothrud,2024-02-05 10:00:00,2024-02-05 10:20:00,599.31,completed,7,Mangesh Parab,7380072391,Bangalore,Eknath Kharat,4.1,active,120,308.02,Cash,2024-04-29,processing,Auto,MH12AB1006,0 days 00:20:00,10,0 days 00:20:00
108,93,21,Kothrud,Baner,2024-02-05 11:00:00,2024-02-05 11:20:00,92.04,completed,8,Zaid Shaikh,8532243865,Pune,Kailas Gawade,4.45,active,121,107.83,UPI,2024-04-30,failed,Sedan,MH12AB1007,0 days 00:20:00,11,0 days 00:20:00
109,39,34,Shivajinagar,Shivajinagar,2024-02-05 12:00:00,2024-02-05 12:20:00,345.42,completed,9,Ojas Phadke,9655947709,Bangalore,Xavier Dsouza,4.24,active,122,415.04,UPI,2024-05-01,success,Mini,MH12AB1008,0 days 00:20:00,12,0 days 00:20:00
110,6,22,Kothrud,Hinjewadi,2024-02-05 13:00:00,,323.12,ongoing,10,Nikhil Pawar,8914837113,Pune,Laxmikant Jagtap,4.77,inactive,123,419.29,Cash,2024-05-02,success,SUV,MH12AB1009,,13,
111,10,22,Wakad,Kothrud,2024-02-05 14:00:00,2024-02-05 14:20:00,282.28,completed,11,Kiran Mane,8972458954,Delhi,Laxmikant Jagtap,4.77,inactive,124,331.67,Cash,2024-05-03,success,Sedan,MH12AB1010,0 days 00:20:00,14,0 days 00:20:00
112,41,9,Baner,Shivajinagar,2024-02-05 15:00:00,2024-02-05 15:20:00,153.66,cancelled,12,Rajesh Pingle,8642661739,Delhi,Nitin Bhosale,4.22,inactive,125,419.19,Cash,2024-05-04,success,Sedan,MH12AB1011,0 days 00:20:00,15,0 days 00:20:00
113,69,26,Wakad,Baner,2024-02-05 16:00:00,2024-02-05 16:20:00,104.55,completed,13,Yamini Karmarkar,7782698033,Bangalore,Pandurang Bendre,3.98,active,126,343.17,Card,2024-05-05,success,Sedan,MH12AB1012,0 days 00:20:00,16,0 days 00:20:00
114,88,13,Kothrud,Kothrud,2024-02-05 17:00:00,2024-02-05 17:20:00,594.7,completed,14,Siddharth Karve,8397283111,Bangalore,Chetan Thorat,4.16,active,127,143.01,Cash,2024-05-06,success,Mini,MH12AB1013,0 days 00:20:00,17,0 days 00:20:00
115,22,18,Hinjewadi,Wakad,2024-02-05 18:00:00,2024-02-05 18:20:00,489.35,completed,15,Sanjay Thorat,8306710475,Mumbai,Hanumant Pujari,3.76,active,128,173.28,UPI,2024-05-07,success,SUV,MH12AB1014,0 days 00:20:00,18,0 days 00:20:00
116,90,1,Hinjewadi,Shivajinagar,2024-02-05 19:00:00,2024-02-05 19:20:00,308.7,completed,16,Urvashi Karmarkar,8165435217,Mumbai,Santosh Pawar,4.54,active,129,146.57,Cash,2024-05-08,success,Sedan,MH12AB1015,0 days 00:20:00,19,0 days 00:20:00
117,51,23,Wakad,Wakad,2024-02-05 20:00:00,2024-02-05 20:20:00,429.12,completed,17,Dipali Wadkar,7056972561,Mumbai,Madhav Nikam,4.59,active,130,219.77,Card,2024-05-09,success,Auto,MH12AB1016,0 days 00:20:00,20,0 days 00:20:00
118,37,33,Baner,Baner,2024-02-05 21:00:00,2024-02-05 21:20:00,234.81,completed,18,Mayur Bende,8958805693,Delhi,Waseem Shaikh,4.15,active,131,67.53,Cash,2024-05-10,success,Sedan,MH12AB1017,0 days 00:20:00,21,0 days 00:20:00
119,45,47,Wakad,Wakad,2024-02-05 22:00:00,2024-02-05 22:20:00,307.22,cancelled,19,Vaibhav Mhatre,7199502978,Pune,Kiran Parab,4.22,active,132,328.21,Card,2024-05-11,pending,Sedan,MH12AB1018,0 days 00:20:00,22,0 days 00:20:00
120,93,31,Shivajinagar,Shivajinagar,2026-04-01 12:33:10,,522.41,ongoing,20,Zaid Shaikh,8532243865,Pune,Umesh Shirole,3.64,active,133,201.45,Card,2024-05-12,success,Mini,MH12AB1019,,12,
121,100,21,Baner,Baner,2024-02-06 00:00:00,2024-02-06 00:20:00,379.22,completed,21,Vivek Jadhav,7709816108,Bangalore,Kailas Gawade,4.45,active,37,81.92,Cash,2024-02-06,success,Mini,MH12AB1020,0 days 00:20:00,0,0 days 00:20:00
121,100,21,Baner,Baner,2024-02-06 00:00:00,2024-02-06 00:20:00,379.22,completed,21,Vivek Jadhav,7709816108,Bangalore,Kailas Gawade,4.45,active,134,345.08,Cash,2024-05-13,success,Mini,MH12AB1020,0 days 00:20:00,0,0 days 00:20:00
122,84,23,Baner,Baner,2024-02-06 01:00:00,2024-02-06 01:20:00,344.56,completed,22,Nikita Vaidya,9450038221,Delhi,Madhav Nikam,4.59,active,135,223.43,UPI,2024-05-14,processing,SUV,MH12AB1021,0 days 00:20:00,1,0 days 00:20:00
123,82,16,Wakad,Wakad,2024-02-06 02:00:00,2024-02-06 02:20:00,528.07,completed,23,Lokesh Wankhede,8402481934,Pune,Firoz Shaikh,4.61,active,136,356.73,Card,2024-05-15,success,Auto,MH12AB1022,0 days 00:20:00,2,0 days 00:20:00
124,62,27,Baner,Kothrud,2024-02-06 03:00:00,2024-02-06 03:20:00,507.19,completed,24,Om Pote,7524150214,Bangalore,Qasim Pathan,4.04,active,137,203.28,Cash,2024-05-16,success,Mini,MH12AB1023,0 days 00:20:00,3,0 days 00:20:00
125,15,37,Hinjewadi,Kothrud,2024-02-06 04:00:00,2024-02-06 04:20:00,105.04,driver_cancelled,25,Rutuja Kale,7088409749,Delhi,Ajay Phadke,4.14,active,138,167.31,Cash,2024-05-17,success,Sedan,MH12AB1024,0 days 00:20:00,4,0 days 00:20:00
126,79,38,Kothrud,Shivajinagar,2024-02-06 05:00:00,2024-02-06 05:20:00,294.31,cancelled,26,Isha Deshpande,8931679275,Delhi,Baban Pawaskar,4.84,active,139,273.22,UPI,2024-05-18,failed,SUV,MH12AB1025,0 days 00:20:00,5,0 days 00:20:00
127,24,14,Hinjewadi,Shivajinagar,2024-02-06 06:00:00,2024-02-06 06:20:00,536.44,completed,27,Abhijeet Khare,9253811733,Bangalore,Dhanraj Gite,3.59,active,140,361.8,Card,2024-05-19,refunded,Sedan,MH12AB1026,0 days 00:20:00,6,0 days 00:20:00
128,63,37,Baner,Kothrud,2024-02-06 07:00:00,2024-02-06 07:20:00,352.91,completed,28,Pallavi Chougule,9619915691,Pune,Ajay Phadke,4.14,active,141,206.75,Card,2024-05-20,success,Sedan,MH12AB1027,0 days 00:20:00,7,0 days 00:20:00
129,29,47,Kothrud,Kothrud,2024-02-06 08:00:00,2024-02-06 08:20:00,449.69,completed,29,Dnyaneshwari Jagtap,9253890010,Mumbai,Kiran Parab,4.22,active,142,471.49,Cash,2024-05-21,success,Mini,MH12AB1028,0 days 00:20:00,8,0 days 00:20:00
130,81,7,Shivajinagar,Kothrud,2024-02-06 09:00:00,,594.79,ongoing,30,Kalyani Patankar,9567960845,Bangalore,Pravin Chavan,4.97,active,143,67.63,Cash,2024-05-22,success,SUV,MH12AB1029,,9,
131,25,12,Wakad,Shivajinagar,2024-02-06 10:00:00,2024-02-06 10:20:00,196.77,completed,31,Varsha Desai,7030349564,Delhi,Bharat Salunkhe,4.59,active,144,238.08,UPI,2024-05-23,pending,Auto,MH12AB1030,0 days 00:20:00,10,0 days 00:20:00
132,16,28,Baner,Hinjewadi,2024-02-06 11:00:00,2024-02-06 11:20:00,561.13,completed,32,Akash Salunkhe,7242285876,Delhi,Ravindra Patankar,3.84,active,145,485.41,UPI,2024-05-24,success,Auto,MH12AB1031,0 days 00:20:00,11,0 days 00:20:00
133,50,3,Wakad,Shivajinagar,2024-02-06 12:00:00,2024-02-06 12:20:00,433.49,cancelled,33,Chetan Pansare,7279394470,Pune,Dilip Deshmukh,3.84,active,146,296.59,Card,2024-05-25,success,Mini,MH12AB1032,0 days 00:20:00,12,0 days 00:20:00
134,81,22,Kothrud,Kothrud,2024-02-06 13:00:00,2024-02-06 13:20:00,293.34,completed,34,Kalyani Patankar,9567960845,Bangalore,Laxmikant Jagtap,4.77,inactive,147,240.56,Card,2024-05-26,failed,Mini,MH12AB1033,0 days 00:20:00,13,0 days 00:20:00
135,85,21,Wakad,Hinjewadi,2026-04-01 12:33:10,2024-02-06 14:20:00,231.99,booked,35,Onkar Modak,7841739990,Delhi,Kailas Gawade,4.45,active,148,305.83,Cash,2024-05-27,success,SUV,MH12AB1034,-785 days +01:46:50,12,-785 days +01:46:50
136,91,29,Baner,Baner,2024-02-06 15:00:00,2024-02-06 15:20:00,513.68,completed,36,Vikram Pujari,9317960046,Pune,Shankar Waghmare,3.94,active,149,309.17,Card,2024-05-28,failed,Auto,MH12AB1035,0 days 00:20:00,15,0 days 00:20:00
137,5,20,Baner,Shivajinagar,2024-02-06 16:00:00,2024-02-06 16:20:00,180.59,completed,37,Sneha Joshi,7670094950,Bangalore,Jagdish Kadam,4.3,active,150,379.24,UPI,2024-05-29,processing,Auto,MH12AB1036,0 days 00:20:00,16,0 days 00:20:00
145,36,39,Kothrud,Baner,2024-02-07 00:00:00,2024-02-07 00:20:00,409.46,completed,45,Laxman Morey,7999745294,Pune,Chandrakant More,4.92,active,38,228.55,Card,2024-02-07,success,Auto,MH12AB1044,0 days 00:20:00,0,0 days 00:20:00
169,6,17,Baner,Shivajinagar,2024-02-08 00:00:00,2024-02-08 00:20:00,428.86,completed,19,Nikhil Pawar,8914837113,Pune,Ganpat Kamble,3.77,active,39,72.85,Cash,2024-02-08,success,Sedan,MH12AB1018,0 days 00:20:00,0,0 days 00:20:00
193,8,7,Wakad,Wakad,2024-02-09 00:00:00,2024-02-09 00:20:00,431.31,completed,43,Rohit Chavan,7429389014,Bangalore,Pravin Chavan,4.97,active,40,448.98,Cash,2024-02-09,refunded,Sedan,MH12AB1042,0 days 00:20:00,0,0 days 00:20:00
217,52,20,Baner,Kothrud,2024-02-10 00:00:00,2024-02-10 00:20:00,203.53,cancelled,17,Esha Apte,9419304461,Delhi,Jagdish Kadam,4.3,active,41,62.43,Card,2024-02-10,success,Auto,MH12AB1016,0 days 00:20:00,0,0 days 00:20:00
241,80,24,Wakad,Baner,2024-02-11 00:00:00,2024-02-11 00:20:00,487.62,completed,41,Jitesh Chitale,8697157321,Pune,Narayan Bhujbal,4.42,active,42,310.49,Cash,2024-02-11,success,Sedan,MH12AB1040,0 days 00:20:00,0,0 days 00:20:00
265,21,28,Kothrud,Hinjewadi,2024-02-12 00:00:00,2024-02-12 00:20:00,423.17,completed,15,Madhuri Gaikwad,9652062880,Delhi,Ravindra Patankar,3.84,active,43,247.31,Card,2024-02-12,success,SUV,MH12AB1014,0 days 00:20:00,0,0 days 00:20:00
289,3,38,Shivajinagar,Kothrud,2024-02-13 00:00:00,2024-02-13 00:20:00,527.94,completed,39,Rahul Deshmukh,9571218620,Delhi,Baban Pawaskar,4.84,active,44,352.41,Cash,2024-02-13,success,Sedan,MH12AB1038,0 days 00:20:00,0,0 days 00:20:00
